Nome da Origem;Data;Temp. Ins. (C)
temperatura_historico_DF_01.csv;07/01/2019;27,7
temperatura_historico_DF_01.csv;07/01/2019;27,4
temperatura_historico_DF_01.csv;07/01/2019;28,3
temperatura_historico_DF_01.csv;07/01/2019;28,7
temperatura_historico_DF_01.csv;07/01/2019;28,3
temperatura_historico_DF_01.csv;07/01/2019;27,3
temperatura_historico_DF_01.csv;07/01/2019;25,1
temperatura_historico_DF_01.csv;07/01/2019;24,2
temperatura_historico_DF_01.csv;08/01/2019;21,7
temperatura_historico_DF_01.csv;08/01/2019;20,4
temperatura_historico_DF_01.csv;08/01/2019;22,9
temperatura_historico_DF_01.csv;08/01/2019;21,9
temperatura_historico_DF_01.csv;08/01/2019;21,3
temperatura_historico_DF_01.csv;08/01/2019;19,2
temperatura_historico_DF_01.csv;08/01/2019;19,2
temperatura_historico_DF_01.csv;08/01/2019;20,6
temperatura_historico_DF_01.csv;08/01/2019;20,3
temperatura_historico_DF_01.csv;08/01/2019;19,6
temperatura_historico_DF_01.csv;08/01/2019;22,2
temperatura_historico_DF_01.csv;08/01/2019;23,2
temperatura_historico_DF_01.csv;08/01/2019;24,2
temperatura_historico_DF_01.csv;08/01/2019;25
temperatura_historico_DF_01.csv;08/01/2019;26,7
temperatura_historico_DF_01.csv;08/01/2019;26,3
temperatura_historico_DF_01.csv;08/01/2019;27,4
temperatura_historico_DF_01.csv;08/01/2019;26,9
temperatura_historico_DF_01.csv;08/01/2019;26,9
temperatura_historico_DF_01.csv;08/01/2019;26,8
temperatura_historico_DF_01.csv;08/01/2019;25,7
temperatura_historico_DF_01.csv;08/01/2019;25,8
temperatura_historico_DF_01.csv;08/01/2019;24,5
temperatura_historico_DF_01.csv;08/01/2019;23,5
temperatura_historico_DF_01.csv;09/01/2019;22,9
temperatura_historico_DF_01.csv;09/01/2019;22,1
temperatura_historico_DF_01.csv;09/01/2019;21,6
temperatura_historico_DF_01.csv;09/01/2019;21,1
temperatura_historico_DF_01.csv;09/01/2019;20,7
temperatura_historico_DF_01.csv;09/01/2019;20
temperatura_historico_DF_01.csv;09/01/2019;19,9
temperatura_historico_DF_01.csv;09/01/2019;19,2
temperatura_historico_DF_01.csv;09/01/2019;18,4
temperatura_historico_DF_01.csv;09/01/2019;19,1
temperatura_historico_DF_01.csv;09/01/2019;20,7
temperatura_historico_DF_01.csv;09/01/2019;22,2
temperatura_historico_DF_01.csv;09/01/2019;22,7
temperatura_historico_DF_01.csv;09/01/2019;23,9
temperatura_historico_DF_01.csv;09/01/2019;24,4
temperatura_historico_DF_01.csv;09/01/2019;24,8
temperatura_historico_DF_01.csv;09/01/2019;25,7
temperatura_historico_DF_01.csv;09/01/2019;25,7
temperatura_historico_DF_01.csv;09/01/2019;26,8
temperatura_historico_DF_01.csv;09/01/2019;26,3
temperatura_historico_DF_01.csv;09/01/2019;25,3
temperatura_historico_DF_01.csv;09/01/2019;25,6
temperatura_historico_DF_01.csv;09/01/2019;24,3
temperatura_historico_DF_01.csv;09/01/2019;22,9
temperatura_historico_DF_01.csv;10/01/2019;22,2
temperatura_historico_DF_01.csv;10/01/2019;21,5
temperatura_historico_DF_01.csv;10/01/2019;20,9
temperatura_historico_DF_01.csv;10/01/2019;21
temperatura_historico_DF_01.csv;10/01/2019;20,6
temperatura_historico_DF_01.csv;10/01/2019;20,4
temperatura_historico_DF_01.csv;10/01/2019;19,8
temperatura_historico_DF_01.csv;10/01/2019;19,3
temperatura_historico_DF_01.csv;10/01/2019;19
temperatura_historico_DF_01.csv;10/01/2019;19,6
temperatura_historico_DF_01.csv;10/01/2019;20,1
temperatura_historico_DF_01.csv;10/01/2019;21,5
temperatura_historico_DF_01.csv;10/01/2019;21,9
temperatura_historico_DF_01.csv;10/01/2019;23,5
temperatura_historico_DF_01.csv;10/01/2019;23,9
temperatura_historico_DF_01.csv;10/01/2019;26,2
temperatura_historico_DF_01.csv;10/01/2019;25,6
temperatura_historico_DF_01.csv;10/01/2019;26,7
temperatura_historico_DF_01.csv;10/01/2019;21,1
temperatura_historico_DF_01.csv;10/01/2019;19,3
temperatura_historico_DF_01.csv;10/01/2019;18,6
temperatura_historico_DF_01.csv;10/01/2019;19
temperatura_historico_DF_01.csv;10/01/2019;18,6
temperatura_historico_DF_01.csv;10/01/2019;18,5
temperatura_historico_DF_01.csv;11/01/2019;18,4
temperatura_historico_DF_01.csv;11/01/2019;18,4
temperatura_historico_DF_01.csv;11/01/2019;19,3
temperatura_historico_DF_01.csv;11/01/2019;19,1
temperatura_historico_DF_01.csv;11/01/2019;18,4
temperatura_historico_DF_01.csv;11/01/2019;17,7
temperatura_historico_DF_01.csv;11/01/2019;17,8
temperatura_historico_DF_01.csv;11/01/2019;17,8
temperatura_historico_DF_01.csv;11/01/2019;17,8
temperatura_historico_DF_01.csv;11/01/2019;17,2
temperatura_historico_DF_01.csv;11/01/2019;17,1
temperatura_historico_DF_01.csv;11/01/2019;17,9
temperatura_historico_DF_01.csv;11/01/2019;19,3
temperatura_historico_DF_01.csv;11/01/2019;18,6
temperatura_historico_DF_01.csv;11/01/2019;19,1
temperatura_historico_DF_01.csv;11/01/2019;20,5
temperatura_historico_DF_01.csv;11/01/2019;22,2
temperatura_historico_DF_01.csv;11/01/2019;23,5
temperatura_historico_DF_01.csv;11/01/2019;23,6
temperatura_historico_DF_01.csv;11/01/2019;24,2
temperatura_historico_DF_01.csv;11/01/2019;24,3
temperatura_historico_DF_01.csv;11/01/2019;23,6
temperatura_historico_DF_01.csv;11/01/2019;22,2
temperatura_historico_DF_01.csv;11/01/2019;20,4
temperatura_historico_DF_01.csv;12/01/2019;21,6
temperatura_historico_DF_01.csv;12/01/2019;20,1
temperatura_historico_DF_01.csv;12/01/2019;19
temperatura_historico_DF_01.csv;12/01/2019;19,1
temperatura_historico_DF_01.csv;12/01/2019;20,4
temperatura_historico_DF_01.csv;12/01/2019;20,4
temperatura_historico_DF_01.csv;12/01/2019;19,6
temperatura_historico_DF_01.csv;12/01/2019;19,9
